〇,囗凸旬臼冂曰吕匕勺勹巳凹日向旨口句巴回钯
㓟,劁劍刺剌剿剎剂剩剃劇廁剝刖刻勍劏刹𠜎荆劓
㓤,剖剒剞剀割刮刺刳创剃剌剋劏𠜎創剧㓥劇㓟刻
㓥,𠜎剀划剑判刮刿别剝创別刖劏㓤制钊剒剃削刹
㔆,箭靭蓟副鹠酬嗣翻鄹鹝鄢鹊酚剔鄙萌葫剧鹛郦
㔷,匦魇匾餍焉廢匱匪厭厥赝匣匮雨颞匝郾两廖票
㔼,奉幸样亲车聿奪擎拜痒秦宰率荐棒痱萃奔辛卒
㕭,呀哆叹吓叮𠻹梁咏呒冻㖭呱呍泺庠咚呸疹庥啄
㖊,呍嘢𠱸噚唔吁呸咛嘎吗咓呀咂𠳝导噼啮𠸎𠵇嗥
㖞,脶吶呵闲嘣咿咧峒咽淠喁腸岬呷塄喟嗎溻闷㬹
㖭,𠻹嘜啄𠺢暌哧嗦咳喭咴嚥啐噁唼睽家嘹晞嘺咂
㖿,哪噼嘟喁唧嘱椰暉庫呖喐啸啷屌扅廝榍章襦哺
㗎,噀嚓喋喫唤嗦咴啋哚𠺢𭉝咦嘹𠸎嘆嗔嗓噪唉㖭
㗱,嗉囔嘹噗噤嚄哮嗦嘆嘸嗔嚏噍噢嗪嚥嗅嗓唼味
㗾,嘴畹嚹噈𠺝噉嚙嘁噙喺哋腕嘧嗞戒𠼭嗻嚆𠽤戚
㚻,累晏妻旻重屡果墨嬰曳畏要篁屆叟枣里届垦蛊
㞗,屎尿𡳞栗屏屡累粟屃㞘孱桑豚屑厥泵炅爰原灵
㞘,原厭厥䐁暝豚唳戾膘哽廖靡㞗脲𦟌噘康啄屦屃
㥋,愆毖恣汔笼笺恁怎沱侥淰宏忍沦沘忽懲疣慫签
㧬,碑硃珲霁珠酵琴歼拜翠辞孬珥薅殊擎筚拏琛酥
㧻,捩揼摎掭掠揆侯候𢴒瘃探坂恹伢捺摀掙椋搡傺
㧾,揳搲撼換揽搋抚揆偬惚㨢挨掀捯撿摁拣𢴒拖栊
㨃,搾掉椋捽𢲡棕掠惇樟棹接抟婷掭械榇标棋摔撏
㨆,妹拼撩嫩抹挟慚挤块供擠扶惭拚捺姘林袜燉憔
