entry_id	def_index	variants	mandarin_variants
7	0	淆底/肴底	怂了/胆怯/畏缩
10	1	閪/屄	逼
4	2	仆街	倒霉/遭殃/完蛋
1	0	屈機	碾压/完胜/吊打
5	0	觀音兵	备胎/舔狗
11	0	食咗飯未	吃饭了吗/吃了吗
21	2	屌/𨳒	干/搞/吃/喝/买
51	0	點算	怎么办/如何是好
25	0	龍鬚糖	龙须酥
18	1	屌你老母/𨳒你老母	他妈的/我操/我靠
174	0	高樓	高楼大厦
105	0	鷸蚌相爭，漁人得利	鹬蚌相争，渔翁得利
257	0	馱/駄	背
239	0	騾仔	骡子
322	0	飲管	吸管
278	1	香港	香港岛
346	0	飛簷走壁	飞檐走壁
308	0	餐包	小餐包/面包卷
363	0	風雪	暴风雪
445	1	頤	养/滋养
353	0	飛上枝頭變鳳凰	麻雀变凤凰
549	0	非同凡響	与众不同/出类拔萃
693	0	雙臂	双手
688	0	雜果	什锦水果
667	0	難得一見	少见/罕见
685	0	雜貨舖	杂货店/小卖部
721	0	雄心萬丈	壮志凌云
869	0	闊度	宽度
941	0	門券	门票/入场券
1008	0	錐體	金字塔
960	1	長子嫡孫	嫡长子
989	0	鎅刀/𠝹刀	美工刀/裁纸刀/切割刀
1083	0	野菌	野生菌/野蘑菇
1045	0	鈎	钩子
1634	0	車厘子	樱桃
1312	0	過多	太多
1419	0	通往	通向
1650	0	身旁	身边/旁边
1351	0	遇溺	溺水/淹溺
1815	0	賓治	潘趣酒
1949	0	警隊	警察队伍
1876	0	財赤	财政赤字
1850	0	貳	背叛/出卖
1880	0	財源廣進	财源滚滚
1987	1	謂	说/告诉
2071	1	語	语言/言语
2093	2	話	认为/觉得/以为
2047	0	乜説話	哪里/不用谢/不客气/没事/没关系
2136	0	設有	配备/具备
2282	0	西冷	牛外脊
2510	0	薯片	土豆片
2523	0	蕊	花蕊
2607	0	華埠	唐人街/中国城
2613	0	菠蘿包	菠萝油
2752	0	船隊	舰队
2763	0	航機	航班/客机
2901	0	腰間	腰部
2859	0	自己的事自己做	自己的事情自己做
2938	0	胸部	胸膛/胸口
2921	0	脱	脱下/脱掉
2881	0	臨屋	临时房屋/临时住所
3058	0	唔耐煩	不耐烦/烦躁
3040	0	聖誕咭/聖誕卡	圣诞贺卡
3164	1	羅宋湯	港式罗宋汤
3290	1	緊	紧绷
3295	0	綵燈	花灯
3310	1	綠葉	配角
3482	0	精挑細選	精心挑选
3492	0	粗言穢語	脏话/粗话/污言秽语
3639	0	立例	立法/制定法律
3922	0	知恩感戴	感恩戴德/感激涕零
3892	0	嘭/砰/呯	轰
3940	0	瞧	看
3957	1	着/著	开/打开
3962	0	眾數	复数
3986	0	真金不怕紅爐火	真金不怕火炼
4071	0	直尺	尺子
4028	0	相送	送行/送别/陪同/护送
4033	0	相見好，同住難	相见易，同住难
4076	0	盲婚啞嫁	包办婚姻
4270	0	疑匪	疑犯/嫌疑人
4105	0	盡忠職守	尽职尽责/忠于职守
4366	0	用不着	不需要/不必
4431	0	琳瑯滿目	琳琅满目
4429	0	琴瑟和鳴	夫妻和睦/伉俪情深
4604	0	物有所值	物超所值/性价比高
4572	0	犧牲小我，完成大我	牺牲小我，成就大我/舍小我，成大我
4608	0	物以罕為貴	物以稀为贵
4657	0	爭妍鬥麗	争奇斗艳/争妍斗艳
4667	0	爬山	登山
4771	0	無語問蒼天	无言以对/哑口无言
4792	0	無日無之	无时无刻/接连不断
4797	0	無所遁形	无处藏身
4844	0	烏茲別克	乌兹别克斯坦
4903	0	灘	海滩/沙滩
4916	0	濾水	过滤水
4950	0	潭	深潭
4938	1	澳門	澳门半岛
5093	0	渡過	度过
5121	0	清拆	拆除/拆毁/拆卸
5221	1	海南	海南岛
5176	0	涌	小河/小溪/河口
5284	0	洋紫荊	香港紫荆/红花羊蹄甲
5288	0	泳灘	海滩/海滨浴场
5297	0	泥膠	橡皮泥/彩泥
5346	0	治癒	痊愈
